L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
250,1.0,3,3,op,0.023615050,-0.149865,0.006541535,0.999957,0.9936,True
250,1.0,4,3,op,0.027974059,+0.007058,0.006541535,0.999957,0.0150,True
250,1.0,5,3,op,0.023767321,-0.144383,0.006541535,0.999957,2.3285,True
250,1.0,6,3,op,0.026594397,-0.042609,0.006541535,0.999957,0.3019,True
250,1.0,7,3,op,0.029447564,+0.060104,0.006541535,0.999957,0.9804,True
250,1.0,0,3,point,0.029174548,+0.050275,0.006713806,0.999955,0.7134,True
250,1.0,1,3,point,0.032816564,+0.181387,0.006713806,0.999955,0.0683,True
250,1.0,2,3,point,0.026379832,-0.050334,0.006713806,0.999955,0.0343,True
250,1.0,3,3,point,0.024925601,-0.102686,0.006713806,0.999955,0.9533,True
250,1.0,4,3,point,0.029237199,+0.052531,0.006713806,0.999955,0.1541,True
250,1.0,5,3,point,0.025027600,-0.099014,0.006713806,0.999955,2.2517,True
250,1.0,6,3,point,0.028114558,+0.012116,0.006713806,0.999955,0.2505,True
250,1.0,7,3,point,0.031617981,+0.138238,0.006713806,0.999955,0.8490,True
250,1.0,0,4,op,0.027933852,+0.005611,0.005758145,0.999967,0.9611,True
250,1.0,1,4,op,0.031201418,+0.123242,0.005758145,0.999967,0.1590,True
250,1.0,2,4,op,0.025229350,-0.091751,0.005758145,0.999967,0.1284,True
250,1.0,3,4,op,0.023992892,-0.136263,0.005758145,0.999967,1.1419,True
250,1.0,4,4,op,0.028380633,+0.021695,0.005758145,0.999967,0.0522,True
250,1.0,5,4,op,0.024611961,-0.113976,0.005758145,0.999967,2.4560,True
250,1.0,6,4,op,0.026641436,-0.040916,0.005758145,0.999967,0.3154,True
250,1.0,7,4,op,0.029951459,+0.078244,0.005758145,0.999967,1.0248,True
250,1.0,0,4,point,0.026427777,-0.048608,0.005746857,0.999967,1.2596,True
250,1.0,1,4,point,0.028726352,+0.034140,0.005746857,0.999967,0.3823,True
250,1.0,2,4,point,0.023343685,-0.159634,0.005746857,0.999967,0.3164,True
250,1.0,3,4,point,0.022623838,-0.185548,0.005746857,0.999967,1.3451,True
250,1.0,4,4,point,0.026027935,-0.063002,0.005746857,0.999967,0.1427,True
250,1.0,5,4,point,0.023648881,-0.148647,0.005746857,0.999967,2.7830,True
250,1.0,6,4,point,0.024933918,-0.102386,0.005746857,0.999967,0.5085,True
250,1.0,7,4,point,0.028397029,+0.022285,0.005746857,0.999967,1.4544,True
250,2.0,0,1,op,0.024690631,-0.111144,0.010876613,0.999882,nan,True
250,2.0,1,1,op,0.031412210,+0.130831,0.010876613,0.999882,nan,True
250,2.0,2,1,op,0.022723220,-0.181971,0.010876613,0.999882,nan,True
250,2.0,3,1,op,0.020622909,-0.257581,0.010876613,0.999882,nan,True
250,2.0,4,1,op,0.028119557,+0.012296,0.010876613,0.999882,nan,True
250,2.0,5,1,op,0.017462980,-0.371338,0.010876613,0.999882,nan,True
250,2.0,6,1,op,0.024823382,-0.106365,0.010876613,0.999882,nan,True
